taxon,isocode,glottocode,xd_ids,soc_ids
Achang,,acha1252,,
Aka,hru,hrus1242,,
Alike_T,,,,
Ang_Kohima,,kohi1249,,
Ang__Khonoma,,khon1248,,
Anong,nun,nung1282,,
Ao_Chungli,,chon1286,,
Ao_Mongsen,,mong1332,,
Apatani,apt,apat1240,,
Batang_T,,,,
Beijing,,beij1235,,
Bodo,brx,bodo1269,,
Bokar,,boka1249,,
Bola,bxd,pela1242,,
Bugun,bgg,bugu1246,,
Burmese,mya,nucl1310,,
CHN,cmn,mand1415,,
Chang,nbc,chan1313,,
Chepang,cdm,chep1245,,
Chokri,nri,chok1243,,
Cuona_M,,,,
Daofu_Horpa,,horp1240,,
Dhimal,dhi,dhim1246,,
Dimasa,dis,dima1251,,
Dulong,duu,drun1238,,
Dumi,dus,dumi1241,,
Ergong,,horp1240,,
Ersu,ers,ersu1241,,
Fuzhou,,fuzh1239,,
Gallong,adl,galo1242,,
Gangte,gnb,gang1266,,
Garo,grt,garo1247,,
Gazhuo,ktp,kadu1253,,
Geba,kvq,geba1237,,
Geker,,,,
Guiqiong,gqi,guiq1238,,
Gurung,gvr,guru1261,,
Haka,cnh,haka1240,,
Hakka,hak,hakk1236,,
Hill_Miri,,hill1258,,
Hmar,hmr,hmar1241,,
Idu,clk,idum1241,,
Jiarung,,core1262,,
Jingpo,,jing1260,,
Jinuo,jiu,youl1235,,
Jirel,jul,jire1238,,
Kabui,nbu,rong1266,,
Kaike,kzq,kaik1246,,
Kanauri,kfk,kinn1249,,
Kayan_Pekon,pdu,kaya1315,,
Kelun,,,,
Khaling,klr,khal1275,,
Kham,,kham1286,,
Khezhama,nkh,khez1235,,
Khoirao,nki,than1255,,
Konyak,nbe,kony1248,,
Konyak_D,,,,
Kulung,kle,kulu1253,,
Langsu_Maru,mhx,maru1249,,
Lepcha,lep,lepc1244,,
Leqi,lsi,lash1243,,
Lhasa,,utsa1239,,
Lhota,njh,loth1237,,
Liangmai,njn,lian1251,,
Lijiang_Naxi,,lich1241,,
Limbu,lif,limb1266,,
Lushai,lus,lush1249,,
Lusu,,lizu1234,,
Magar,,maga1261,,
Manipuri,mni,mani1292,,
Manu,kxf,manu1255,,
Mao,nbi,maon1238,,
Maram,nma,mara1379,,
Miji,,miji1239,,
Miju_Geman,mxj,miju1243,,
Mikir,,karb1240,,
Milang,,mila1245,,
Motuo_M,,,,
Muya,mvm,muya1239,,
Mzieme,nme,mzie1235,,
N_Qiang,cng,nort2722,,
Namuzi,nmy,namu1246,,
Ninglang_Naxi,,,,
Nishi,njz,nyis1236,,
Nocte,njb,noct1238,,
Nusu,nuf,nusu1239,,
Old_Chinese,och,oldc1244,,
Pa_O,blk,paok1235,,
Padam,,pada1257,,
Padaung,pdu,kaya1315,,
Palaichi,,,,
Phom,nph,phom1236,,
Pochuri,npo,poch1243,,
Pumi1,pmj,sout2729,,
Pumi2,pmi,nort2723,,
Queyu,qvy,quey1238,,
Rabha,rah,rabh1238,,
Rawang,raw,rawa1265,,
Rengma,nre,sout2732,,
Rourou,,,,
S_Qiang,,sout3257,,
Sangtam,nsa,sang1321,,
Sema,nsm,sumi1235,,
Serdukpen,sdp,sher1257,,
Sgaw,,sout1554,,
Shaiyang,,,,
Sherpa,xsr,sher1255,,
Shixing,sxg,shix1238,,
Sulong,suv,sulu1241,,
Sunwar,suz,sunw1242,,
Tagin,tgj,tagi1241,,
Tamang,,nucl1729,,
Tangkul,nmf,tang1336,,
Taraon,mhu,diga1241,,
Thakali,ths,thak1245,,
Tiddim,ctd,tedi1235,,
Tujia,,tuji1244,,
Upper_Bangni,,bang1338,,
W_Kayah,kyu,west2409,,
Wancho,nnp,wanc1238,,
Writ_Tib,,,,
Xiandao,xia,xian1249,,
Xiaxe_T,,,,
Yamphe,ybi,yamp1242,,
Yeinbaw,kvu,yinb1236,,
Yimchungru,yim,yimc1240,,
Yintale,kvy,yint1235,,
Yogli,nst,tase1235,,
Zeme,nzm,zeme1240,,
Zhaba,zhb,zhab1238,,
Zhaiwa,atb,zaiw1241,,
